p1,p2,symmetry_class,symmetry_num,esrgan_combined,esrgan_diff,esrgan_min,jpeg_combined,jpeg_diff,jpeg_q_combined,freq_radius_sum,pred_esrgan_nc,pred_jpeg_nc,pred_combined,pred_min_nc,pareto_optimal
"(1, 5)","(2, 0)",asymmetric,0,11.38899584790455,3.468924678593459,3.9600355846555457,6.30882186047439,0.2841558508785367,72.0,7.0990195135927845,0.6435332406687493,0.7681818181818182,0.616574489855795,0.6435332406687493,False
"(1, 5)","(2, 1)",asymmetric,0,9.576108252472768,1.6560370831616762,3.9600355846555457,6.186188570895286,0.40678914045764136,71.0,7.335087491092574,0.7676544509966372,0.7727272727272727,0.6924108524161641,0.7676544509966372,False
"(1, 5)","(2, 2)",asymmetric,0,8.924426431938436,1.0043552626273442,3.9600355846555457,6.1397478281345625,0.45322988321836455,74.0,7.927446638338974,0.8122725158547276,0.759090909090909,0.7150907822401092,0.759090909090909,False
"(1, 5)","(2, 3)",asymmetric,0,8.329111856758528,0.4090406874474368,3.9600355846555457,6.27699053195786,0.3159871793950675,82.0,8.704570789056774,0.8530313393931299,0.7227272727272727,0.7286369854540597,0.7227272727272727,False
"(1, 5)","(2, 4)",asymmetric,0,8.0112451821965,0.09117401288540883,3.9600355846555457,6.672456032612274,0.07947832125934662,98.0,9.571155468592364,0.874794407588289,0.65,0.7198766445529734,0.65,False
"(1, 5)","(2, 5)",asymmetric,0,7.677131137594148,0.24294003171694367,3.717095552938602,6.8376983062724594,0.2447205949195319,115.0,10.484184320727287,0.8976698686527753,0.5727272727272728,0.7104201030098469,0.5727272727272728,False
"(1, 5)","(2, 6)",asymmetric,0,7.423959875119939,0.49611129419115274,3.463924290464393,7.510129580547922,0.9171518691949943,127.0,11.423574833929543,0.9150034990431658,0.5181818181818182,0.704456644880445,0.5181818181818182,False
"(1, 5)","(2, 7)",asymmetric,0,7.38322111024374,0.5368500590673517,3.423185525588194,7.234269102628717,0.6412913912757907,114.0,12.379129402873303,0.9177927204027464,0.5772727272727273,0.723857450423466,0.5772727272727273,False
"(1, 5)","(3, 0)",asymmetric,0,10.296960768392847,2.376889599081755,3.9600355846555457,6.683559835071841,0.09058212371891372,72.0,8.099019513592784,0.718300543468469,0.7681818181818182,0.6614348715356269,0.718300543468469,False
"(1, 5)","(3, 1)",near-symmetric,1,8.996261462596967,1.076190293285876,3.9600355846555457,6.490431458226226,0.10254625312670163,75.0,8.261297173761164,0.8073542567349975,0.7545454545454545,0.7607761904046348,0.7545454545454545,False
