alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.1,jpeg_q50,7,2,3.8417574887399515,3.2184092942136573,3.098712190503826,4.124373578017527
0.1,jpeg_q50,7,3,3.9701733692023016,3.399013021764867,3.1618778792357887,4.154297708639227
0.1,jpeg_q50,7,4,4.728645280122759,3.936373444526032,3.5354519096030024,7.836152142581326
0.1,jpeg_q50,7,5,4.4444349840682476,4.021106114919345,3.1936084604454322,5.300244443258329
0.1,jpeg_q50,7,6,4.911342529278395,4.640162678572796,3.216901611657856,3.6372133810630913
0.1,jpeg_q50,7,7,4.68917788355086,4.41915243808745,3.1438360343053127,5.763343206257067
0.2,real_esrgan,0,0,53.17896261474608,35.064233189959346,45.28371875000016,0.03896099784132558
0.2,real_esrgan,0,1,11.048167911537792,10.335400869069375,7.7199563183212305,1.5463163343326416
0.2,real_esrgan,0,2,8.465632994890425,8.282722837651136,5.918885875366458,1.7079240536957068
0.2,real_esrgan,0,3,7.061526573511905,7.45316006449553,4.6080382981165915,1.777364301614196
0.2,real_esrgan,0,4,6.219238507080079,6.881367593024394,3.880187500000072,2.604048466178637
0.2,real_esrgan,0,5,5.476434428330753,6.557651475503658,3.277200792282369,1.7276090512065843
0.2,real_esrgan,0,6,5.033394812978515,6.235757875495563,2.8732418860918214,3.8124767274490314
0.2,real_esrgan,0,7,4.798835082116522,5.965658912300728,2.8051124315110965,2.227836640139257
0.2,real_esrgan,1,0,11.876511472717896,11.418403398642813,8.314813173031158,1.3376882255061857
0.2,real_esrgan,1,1,8.050916045069862,7.352641055145735,5.724569439854239,2.558278444669411
0.2,real_esrgan,1,2,6.780199783529184,6.230414518977824,4.830828424673883,2.191908440786088
0.2,real_esrgan,1,3,5.840547974057265,5.576301177238585,4.1963537980671575,2.0333856838815385
0.2,real_esrgan,1,4,11.083999586373828,7.473572252502516,10.281880996605892,1.5096984331071754
0.2,real_esrgan,1,5,4.652466992429872,4.71181175950003,3.0194117407649803,1.9574841563853547
0.2,real_esrgan,1,6,4.284200173944424,4.458156821238336,2.797949535630257,2.1103249231022105
0.2,real_esrgan,1,7,4.025424921984864,4.37408856091747,2.5432265126570686,3.7512581704163743
0.2,real_esrgan,2,0,8.801973617614367,8.893010690571906,6.264840948858513,4.351118115875449
0.2,real_esrgan,2,1,6.913983493924328,6.454703144443507,5.116721556211053,3.9763978595989453
0.2,real_esrgan,2,2,6.025124814695866,5.653794099985259,4.24980989795322,1.643434478577218
0.2,real_esrgan,2,3,5.269877944619538,4.986371280567781,3.653366214481525,2.5946418772905866
0.2,real_esrgan,2,4,4.781092678249344,4.611441341660524,3.1241333584987627,22.219214411541586
0.2,real_esrgan,2,5,4.306344053092769,4.229107349909944,2.7433434714690046,2.3257545529422394
