coeff_pair,symmetry,attack,mean_nc,esrgan_damage_p1,esrgan_damage_p2,esrgan_delta,esrgan_combined,jpeg_delta,jpeg_combined
"(3,7)/(7,7)",asymmetric,espcn_x4,0.999609375,3.276443177348746,3.052821638475687,0.2236215388730587,6.329264815824433,0.46748242137571605,8.499694734948473
"(4,6)/(7,7)",asymmetric,real_esrgan,0.84189453125,3.2837928415311013,3.052821638475687,0.23097120305541408,6.336614480006789,0.04860497455767199,8.918572181766518
"(4,6)/(7,7)",asymmetric,jpeg_compression_q50,0.71826171875,3.2837928415311013,3.052821638475687,0.23097120305541408,6.336614480006789,0.04860497455767199,8.918572181766518
"(4,6)/(7,7)",asymmetric,gaussian_blur_5x5,0.9263671875,3.2837928415311013,3.052821638475687,0.23097120305541408,6.336614480006789,0.04860497455767199,8.918572181766518
"(4,6)/(7,7)",asymmetric,espcn_x4,0.99951171875,3.2837928415311013,3.052821638475687,0.23097120305541408,6.336614480006789,0.04860497455767199,8.918572181766518
"(4,7)/(5,7)",asymmetric,real_esrgan,0.85205078125,3.216483961012089,3.12969769773316,0.08678626327892935,6.346181658745249,0.07203966829403363,8.634400150485627
"(4,7)/(5,7)",asymmetric,jpeg_compression_q50,0.836328125,3.216483961012089,3.12969769773316,0.08678626327892935,6.346181658745249,0.07203966829403363,8.634400150485627
"(4,7)/(5,7)",asymmetric,gaussian_blur_5x5,0.98076171875,3.216483961012089,3.12969769773316,0.08678626327892935,6.346181658745249,0.07203966829403363,8.634400150485627
"(4,7)/(5,7)",asymmetric,espcn_x4,0.99951171875,3.216483961012089,3.12969769773316,0.08678626327892935,6.346181658745249,0.07203966829403363,8.634400150485627
"(6,5)/(7,7)",asymmetric,real_esrgan,0.84853515625,3.2976692341335236,3.052821638475687,0.24484759565783643,6.35049087260921,0.047045464860954844,8.920131691463233
"(6,5)/(7,7)",asymmetric,jpeg_compression_q50,0.7505859375,3.2976692341335236,3.052821638475687,0.24484759565783643,6.35049087260921,0.047045464860954844,8.920131691463233
"(6,5)/(7,7)",asymmetric,gaussian_blur_5x5,0.941015625,3.2976692341335236,3.052821638475687,0.24484759565783643,6.35049087260921,0.047045464860954844,8.920131691463233
"(6,5)/(7,7)",asymmetric,espcn_x4,0.99970703125,3.2976692341335236,3.052821638475687,0.24484759565783643,6.35049087260921,0.047045464860954844,8.920131691463233
"(6,7)/(7,6)",symmetric,real_esrgan,0.85498046875,3.1693100995839623,3.1855876669901098,0.016277567406147497,6.354897766574072,0.033367990152689764,9.418145281289878
"(6,7)/(7,6)",symmetric,jpeg_compression_q50,0.61943359375,3.1693100995839623,3.1855876669901098,0.016277567406147497,6.354897766574072,0.033367990152689764,9.418145281289878
"(6,7)/(7,6)",symmetric,gaussian_blur_5x5,0.98271484375,3.1693100995839623,3.1855876669901098,0.016277567406147497,6.354897766574072,0.033367990152689764,9.418145281289878
"(6,7)/(7,6)",symmetric,espcn_x4,0.999609375,3.1693100995839623,3.1855876669901098,0.016277567406147497,6.354897766574072,0.033367990152689764,9.418145281289878
"(6,6)/(6,7)",near-symmetric,real_esrgan,0.857421875,3.1858933718066584,3.1693100995839623,0.016583272222696177,6.35520347139062,0.1181719226449216,9.50294921378211
"(6,6)/(6,7)",near-symmetric,jpeg_compression_q50,0.55771484375,3.1858933718066584,3.1693100995839623,0.016583272222696177,6.35520347139062,0.1181719226449216,9.50294921378211
"(6,6)/(6,7)",near-symmetric,gaussian_blur_5x5,0.97001953125,3.1858933718066584,3.1693100995839623,0.016583272222696177,6.35520347139062,0.1181719226449216,9.50294921378211
"(6,6)/(6,7)",near-symmetric,espcn_x4,0.99951171875,3.1858933718066584,3.1693100995839623,0.016583272222696177,6.35520347139062,0.1181719226449216,9.50294921378211
"(6,7)/(7,5)",near-symmetric,real_esrgan,0.85634765625,3.1693100995839623,3.1898807922992383,0.020570692715276007,6.3591908918832,0.45593848873304044,8.928838802404147
"(6,7)/(7,5)",near-symmetric,jpeg_compression_q50,0.78447265625,3.1693100995839623,3.1898807922992383,0.020570692715276007,6.3591908918832,0.45593848873304044,8.928838802404147
"(6,7)/(7,5)",near-symmetric,gaussian_blur_5x5,0.9794921875,3.1693100995839623,3.1898807922992383,0.020570692715276007,6.3591908918832,0.45593848873304044,8.928838802404147
"(6,7)/(7,5)",near-symmetric,espcn_x4,0.99970703125,3.1693100995839623,3.1898807922992383,0.020570692715276007,6.3591908918832,0.45593848873304044,8.928838802404147
"(7,4)/(7,7)",asymmetric,real_esrgan,0.85908203125,3.314032590514382,3.052821638475687,0.2612109520386947,6.36685422899007,0.04058212835489616,9.007759284679086
"(7,4)/(7,7)",asymmetric,jpeg_compression_q50,0.80595703125,3.314032590514382,3.052821638475687,0.2612109520386947,6.36685422899007,0.04058212835489616,9.007759284679086
"(7,4)/(7,7)",asymmetric,gaussian_blur_5x5,0.96337890625,3.314032590514382,3.052821638475687,0.2612109520386947,6.36685422899007,0.04058212835489616,9.007759284679086
"(7,4)/(7,7)",asymmetric,espcn_x4,0.99990234375,3.314032590514382,3.052821638475687,0.2612109520386947,6.36685422899007,0.04058212835489616,9.007759284679086
"(6,6)/(7,6)",near-symmetric,real_esrgan,0.853125,3.1858933718066584,3.1855876669901098,0.00030570481654867976,6.371481038796768,0.08480393249223184,9.5363172039348
