image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
t026,0.3,edsr,edsr_x4,1.0,0.0,42.17056064801653,0.9751153982685435,39.79221510887146,512,512
t027,0.05,edsr,edsr_x4,1.0,0.0,41.810576431733814,0.9773914241666134,40.58005690574646,512,512
t027,0.1,edsr,edsr_x4,1.0,0.0,41.71764656931909,0.9769126606340209,42.49215483665466,512,512
t027,0.2,edsr,edsr_x4,1.0,0.0,41.52116933870305,0.9759098086724527,40.72952604293823,512,512
t027,0.3,edsr,edsr_x4,1.0,0.0,41.335232006652085,0.9749284046020614,39.64508080482483,512,512
t028,0.05,edsr,edsr_x4,1.0,0.0,42.7846003146019,0.9807797426587815,40.63976430892944,512,512
t028,0.1,edsr,edsr_x4,1.0,0.0,42.72385012544771,0.9804852323171532,42.78295183181763,512,512
t028,0.2,edsr,edsr_x4,1.0,0.0,42.589459030010914,0.9798584704131814,44.4212110042572,512,512
t028,0.3,edsr,edsr_x4,1.0,0.0,42.457805199748464,0.9791836431047377,44.95603919029236,512,512
t029,0.05,edsr,edsr_x4,1.0,0.0,38.239441918077,0.9877350069528434,42.19563603401184,512,512
t029,0.1,edsr,edsr_x4,1.0,0.0,38.06809728270113,0.9873132680990819,43.60102915763855,512,512
t029,0.2,edsr,edsr_x4,1.0,0.0,37.75158340929107,0.9864494876689358,43.19296717643738,512,512
t029,0.3,edsr,edsr_x4,1.0,0.0,37.423567148867775,0.9855517194134542,43.97196435928345,512,512
t030,0.05,edsr,edsr_x4,1.0,0.0,41.58898837892407,0.9731801164783879,44.13216209411621,512,512
t030,0.1,edsr,edsr_x4,1.0,0.0,41.49086828495304,0.9727424670139145,47.81037378311157,512,512
t030,0.2,edsr,edsr_x4,1.0,0.0,41.3061599250921,0.9719078795980031,47.86173224449158,512,512
t030,0.3,edsr,edsr_x4,1.0,0.0,41.098171530640535,0.9709512580340668,46.1411828994751,512,512
t031,0.05,edsr,edsr_x4,1.0,0.0,42.778779825372844,0.9780903603722318,45.59059381484985,512,512
t031,0.1,edsr,edsr_x4,1.0,0.0,42.68574694415137,0.9777844391042034,44.265480041503906,512,512
t031,0.2,edsr,edsr_x4,1.0,0.0,42.50219717285458,0.977153653734398,44.83576488494873,512,512
t031,0.3,edsr,edsr_x4,1.0,0.0,42.339157944796604,0.9765701605073716,41.284913778305054,512,512
t032,0.05,edsr,edsr_x4,1.0,0.0,40.80628599896065,0.978071587087196,45.357282876968384,512,512
t032,0.1,edsr,edsr_x4,1.0,0.0,40.6947234947518,0.9777462261844034,50.817023038864136,512,512
t032,0.2,edsr,edsr_x4,1.0,0.0,40.45885245466471,0.9769524935336809,50.64506220817566,512,512
t032,0.3,edsr,edsr_x4,1.0,0.0,40.22496756513264,0.9762197298605404,52.322425842285156,512,512
t033,0.05,edsr,edsr_x4,1.0,0.0,42.52837225613054,0.9831162275904665,47.42852306365967,512,512
t033,0.1,edsr,edsr_x4,1.0,0.0,42.44281798573781,0.9828201118133583,52.87463903427124,512,512
t033,0.2,edsr,edsr_x4,1.0,0.0,42.2558989449157,0.982132427404767,52.31879496574402,512,512
t033,0.3,edsr,edsr_x4,1.0,0.0,42.07275845361135,0.9814069415759284,54.6939959526062,512,512
t034,0.05,edsr,edsr_x4,1.0,0.0,38.753791811524046,0.9891679122469856,54.350749015808105,512,512
t034,0.1,edsr,edsr_x4,1.0,0.0,38.58467337796852,0.9887409677126632,54.79052686691284,512,512
t034,0.2,edsr,edsr_x4,1.0,0.0,38.2657539768436,0.9878746870859225,54.631752252578735,512,512
t034,0.3,edsr,edsr_x4,1.0,0.0,37.92658187098891,0.9869247586297397,51.10529899597168,512,512
t035,0.05,edsr,edsr_x4,1.0,0.0,38.82063743590834,0.9840745910750469,50.63065481185913,512,512
t035,0.1,edsr,edsr_x4,1.0,0.0,38.68782701405933,0.9836643200690128,44.418596029281616,512,512
t035,0.2,edsr,edsr_x4,1.0,0.0,38.39198997686524,0.9827471252528522,45.2487850189209,512,512
t035,0.3,edsr,edsr_x4,1.0,0.0,38.1166392884997,0.9818052264180239,43.24286198616028,512,512
t036,0.05,edsr,edsr_x4,1.0,0.0,37.338789587473585,0.9860815763605083,41.016114950180054,512,512
t036,0.1,edsr,edsr_x4,1.0,0.0,37.151304780819615,0.985660466428695,41.60889792442322,512,512
t036,0.2,edsr,edsr_x4,1.0,0.0,36.79547348447676,0.984835083357849,40.57319211959839,512,512
t036,0.3,edsr,edsr_x4,1.0,0.0,36.455506144976,0.9839497911280365,39.856552839279175,512,512
