image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
t008,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.72890103011467,0.9747096334142356,0.1011788845062255,512,512
t008,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.59027469699376,0.9738845585635834,0.1005036830902099,512,512
t009,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.758829031546526,0.96362380748064,0.1009480953216552,512,512
t009,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.6501555146952,0.9631683478743546,0.1016411781311035,512,512
t009,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.40756799018151,0.9621225243015856,0.1007463932037353,512,512
t009,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.177967189937426,0.9611034360699442,0.1017439365386962,512,512
t010,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,41.19406411755091,0.97113992620028,0.1021008491516113,512,512
t010,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,41.13346626166155,0.9708289936109016,0.1018469333648681,512,512
t010,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.98804736220696,0.9700875685747028,0.1016857624053955,512,512
t010,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.85788495634725,0.9694066979302288,0.1002249717712402,512,512
t011,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.83719605296884,0.9735785995941616,0.1009638309478759,512,512
t011,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.77709934980916,0.973256875283268,0.101837158203125,512,512
t011,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.635680270517014,0.972511895517204,0.1022059917449951,512,512
t011,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.479697558750544,0.971596289625144,0.1004920005798339,512,512
t012,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,41.02508438350836,0.9704714467207288,0.1013281345367431,512,512
t012,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.956607672824475,0.9700473338137248,0.1026878356933593,512,512
t012,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.83447508464061,0.969266306112861,0.1014630794525146,512,512
t012,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.73214866053141,0.9685621375307492,0.1039533615112304,512,512
t013,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,36.6516334503827,0.9884016662099436,0.1065309047698974,512,512
t013,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,36.506254380880165,0.9879696642294804,0.1006879806518554,512,512
t013,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.234911075323296,0.987132762308782,0.1017389297485351,512,512
t013,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,35.96330000983898,0.9862503342614422,0.1003379821777343,512,512
t014,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.541406400492704,0.9774864290069047,0.1032650470733642,512,512
t014,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.4220462471191,0.9768960727544598,0.1023628711700439,512,512
t014,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.18801639117888,0.975638699094998,0.1013996601104736,512,512
t014,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.97157410675081,0.9744322275085068,0.1009011268615722,512,512
t015,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,36.5546482431868,0.9779286105177336,0.1022751331329345,512,512
t015,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,36.41923591170609,0.9772712213706468,0.1032321453094482,512,512
t015,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.139457004037105,0.9758289641787512,0.1018450260162353,512,512
t015,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,35.875447419177185,0.974359688828395,0.1020190715789794,512,512
t016,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.06902326591515,0.9850412724136104,0.1048090457916259,512,512
t016,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,37.94779679515178,0.9845886117160356,0.1035778522491455,512,512
t016,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,37.70579802510578,0.9836639322151134,0.1033730506896972,512,512
t016,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.46473328006095,0.9826925950861516,0.1026101112365722,512,512
t017,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,36.92056817688602,0.9823293356027688,0.101121187210083,512,512
t017,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,36.79924376266105,0.9818657375091512,0.1003642082214355,512,512
t017,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.5596770662607,0.9809629392269508,0.1017308235168457,512,512
t017,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,36.31092140768419,0.979981239337823,0.1005802154541015,512,512
t018,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.90650754377035,0.9738825342779884,0.1005768775939941,512,512
t018,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.810380603446006,0.973425534050082,0.1005702018737793,512,512
t018,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,39.60350060209011,0.9724524484687382,0.1001729965209961,512,512
t018,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,39.40833471899087,0.971524299815266,0.1005189418792724,512,512
