image,selected_pair,embedding_cost,alpha_adaptive,standard_psnr,adaptive_psnr,psnr_improvement
t028.png,"(4,7)/(5,7)",0.24070729990264889,0.14235251161387344,43.681417788261825,45.39188650407765,1.7104687158158214
t029.png,"(4,7)/(5,7)",0.2170249778984065,0.20877608534952657,38.27947888976126,42.699618530890135,4.420139641128877
t030.png,"(7,4)/(7,7)",0.18054181768982555,0.1340851801288178,42.17004131398652,45.211950688334106,3.0419093743475827
t031.png,"(4,7)/(5,7)",0.18969128241213373,0.11630779932653565,42.98227827973149,45.47201326222688,2.489734982495392
t032.png,"(4,7)/(5,7)",0.11785789623311566,0.15537204946093605,41.11707728326288,44.65960709560556,3.5425298123426785
t033.png,"(7,4)/(7,7)",0.23847506860986137,0.1735391525853573,42.980707404339064,44.61543405773749,1.634726653398424
t034.png,"(4,7)/(5,7)",0.22798652995230848,0.20145693309050322,38.770697673612545,43.3293287755533,4.558631101940755
t035.png,"(4,7)/(5,7)",0.20179863693396033,0.22472492703566016,38.917387353162376,44.63349917178925,5.716111818626878
t036.png,"(4,7)/(5,7)",0.2033060655136997,0.21017728734148228,37.32508654976576,42.811500563302864,5.486414013537107
t037.png,"(4,7)/(5,7)",0.2090504695784133,0.2233193757557393,38.8776941318934,43.42541222912351,4.54771809723011
t038.png,"(7,4)/(7,7)",0.20908818576172114,0.18089081600894524,41.364082598363424,44.84520949972922,3.4811269013657977
t039.png,"(7,5)/(7,7)",0.22250415124107473,0.18208790379328227,41.54222940999123,44.432389727244214,2.8901603172529846
t040.png,"(4,7)/(5,7)",0.21726129435082397,0.19257400426038757,40.52587638194338,43.77230766077694,3.246431278833562
t041.png,"(7,4)/(7,7)",0.20627879951749337,0.17404128371607935,41.63529332830563,44.8345308777606,3.1992375494549705
t042.png,"(4,7)/(5,7)",0.22321153714663358,0.19276462089151603,39.53078242419664,44.31147674286294,4.780694318666306
t043.png,"(4,7)/(5,7)",0.21885920496303246,0.22489627567890758,39.15752054027979,43.68257986760371,4.525059327323916
t044.png,"(4,7)/(5,7)",0.18591748416871196,0.13965178707688922,41.21197476912042,45.168093947256054,3.956119178135637
t045.png,"(4,7)/(5,7)",0.2067414920024924,0.21085866013455853,39.5108136797022,43.246167786461676,3.7353541067594733
t046.png,"(4,7)/(5,7)",0.1954614294003949,0.20069249423353452,38.58439444004651,43.50626507324053,4.921870633194018
t047.png,"(4,7)/(5,7)",0.21342631350844113,0.23448061501719375,39.072640791917934,43.29709310797891,4.224452316060976
t048.png,"(7,4)/(7,7)",0.17915674761080622,0.1,43.97195340071545,45.3321395343297,1.3601861336142491
