coeff_pair,direction,attack_name,image,nc,ber
"(1,4)/(7,7)",A,espcn_x4,kodim14.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim15.png,0.779296875,0.1103515625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim15.png,0.923828125,0.0380859375
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim15.png,0.791015625,0.1044921875
"(1,4)/(7,7)",A,espcn_x4,kodim15.png,0.98828125,0.005859375
"(1,4)/(7,7)",A,real_esrgan,kodim16.png,0.9140625,0.04296875
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim16.png,0.9921875,0.00390625
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim16.png,0.927734375,0.0361328125
"(1,4)/(7,7)",A,espcn_x4,kodim16.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim17.png,0.90625,0.046875
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim17.png,0.96875,0.015625
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim17.png,0.861328125,0.0693359375
"(1,4)/(7,7)",A,espcn_x4,kodim17.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim18.png,0.8828125,0.05859375
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim18.png,0.9453125,0.02734375
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim18.png,0.71484375,0.142578125
"(1,4)/(7,7)",A,espcn_x4,kodim18.png,0.998046875,0.0009765625
"(1,4)/(7,7)",A,real_esrgan,kodim19.png,0.83203125,0.083984375
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim19.png,0.97265625,0.013671875
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim19.png,0.84765625,0.076171875
"(1,4)/(7,7)",A,espcn_x4,kodim19.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim20.png,0.48828125,0.255859375
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim20.png,0.787109375,0.1064453125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim20.png,0.841796875,0.0791015625
"(1,4)/(7,7)",A,espcn_x4,kodim20.png,0.9921875,0.00390625
"(1,4)/(7,7)",B,real_esrgan,kodim01.png,0.7578125,0.12109375
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim01.png,0.955078125,0.0224609375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim01.png,0.697265625,0.1513671875
"(1,4)/(7,7)",B,espcn_x4,kodim01.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim02.png,0.794921875,0.1025390625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim02.png,0.984375,0.0078125
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim02.png,0.900390625,0.0498046875
"(1,4)/(7,7)",B,espcn_x4,kodim02.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim03.png,0.80859375,0.095703125
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim03.png,0.953125,0.0234375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim03.png,0.85546875,0.072265625
"(1,4)/(7,7)",B,espcn_x4,kodim03.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim04.png,0.857421875,0.0712890625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim04.png,0.970703125,0.0146484375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim04.png,0.875,0.0625
"(1,4)/(7,7)",B,espcn_x4,kodim04.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim05.png,0.716796875,0.1416015625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim05.png,0.921875,0.0390625
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim05.png,0.53125,0.234375
"(1,4)/(7,7)",B,espcn_x4,kodim05.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim06.png,0.916015625,0.0419921875
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim06.png,0.9609375,0.01953125
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim06.png,0.828125,0.0859375
"(1,4)/(7,7)",B,espcn_x4,kodim06.png,0.990234375,0.0048828125
"(1,4)/(7,7)",B,real_esrgan,kodim07.png,0.716796875,0.1416015625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim07.png,0.94140625,0.029296875
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim07.png,0.783203125,0.1083984375
"(1,4)/(7,7)",B,espcn_x4,kodim07.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim08.png,0.498046875,0.2509765625
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim08.png,0.908203125,0.0458984375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim08.png,0.51953125,0.240234375
"(1,4)/(7,7)",B,espcn_x4,kodim08.png,0.998046875,0.0009765625
"(1,4)/(7,7)",B,real_esrgan,kodim09.png,0.78515625,0.107421875
"(1,4)/(7,7)",B,jpeg_compression_q50,kodim09.png,0.953125,0.0234375
"(1,4)/(7,7)",B,gaussian_blur_5x5,kodim09.png,0.865234375,0.0673828125
"(1,4)/(7,7)",B,espcn_x4,kodim09.png,1.0,0.0
"(1,4)/(7,7)",B,real_esrgan,kodim10.png,0.681640625,0.1591796875
