coeff_pair,direction,attack_name,image,nc,ber
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim14.png,0.798828125,0.1005859375
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim14.png,0.220703125,0.3896484375
"(1,0)/(7,7)",A,espcn_x4,kodim14.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim15.png,0.3671875,0.31640625
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim15.png,0.806640625,0.0966796875
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim15.png,0.603515625,0.1982421875
"(1,0)/(7,7)",A,espcn_x4,kodim15.png,0.9765625,0.01171875
"(1,0)/(7,7)",A,real_esrgan,kodim16.png,0.458984375,0.2705078125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim16.png,0.80859375,0.095703125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim16.png,0.421875,0.2890625
"(1,0)/(7,7)",A,espcn_x4,kodim16.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim17.png,0.40234375,0.298828125
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim17.png,0.703125,0.1484375
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim17.png,0.30859375,0.345703125
"(1,0)/(7,7)",A,espcn_x4,kodim17.png,0.994140625,0.0029296875
"(1,0)/(7,7)",A,real_esrgan,kodim18.png,0.482421875,0.2587890625
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim18.png,0.810546875,0.0947265625
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim18.png,0.298828125,0.3505859375
"(1,0)/(7,7)",A,espcn_x4,kodim18.png,0.9921875,0.00390625
"(1,0)/(7,7)",A,real_esrgan,kodim19.png,0.3125,0.34375
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim19.png,0.724609375,0.1376953125
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim19.png,0.310546875,0.3447265625
"(1,0)/(7,7)",A,espcn_x4,kodim19.png,1.0,0.0
"(1,0)/(7,7)",A,real_esrgan,kodim20.png,0.2265625,0.38671875
"(1,0)/(7,7)",A,jpeg_compression_q50,kodim20.png,0.626953125,0.1865234375
"(1,0)/(7,7)",A,gaussian_blur_5x5,kodim20.png,0.57421875,0.212890625
"(1,0)/(7,7)",A,espcn_x4,kodim20.png,0.939453125,0.0302734375
"(1,0)/(7,7)",B,real_esrgan,kodim01.png,0.310546875,0.3447265625
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim01.png,0.8046875,0.09765625
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim01.png,0.283203125,0.3583984375
"(1,0)/(7,7)",B,espcn_x4,kodim01.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim02.png,0.455078125,0.2724609375
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim02.png,0.90234375,0.048828125
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim02.png,0.693359375,0.1533203125
"(1,0)/(7,7)",B,espcn_x4,kodim02.png,0.998046875,0.0009765625
"(1,0)/(7,7)",B,real_esrgan,kodim03.png,0.47265625,0.263671875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim03.png,0.765625,0.1171875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim03.png,0.529296875,0.2353515625
"(1,0)/(7,7)",B,espcn_x4,kodim03.png,0.994140625,0.0029296875
"(1,0)/(7,7)",B,real_esrgan,kodim04.png,0.234375,0.3828125
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim04.png,0.712890625,0.1435546875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim04.png,0.330078125,0.3349609375
"(1,0)/(7,7)",B,espcn_x4,kodim04.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim05.png,0.359375,0.3203125
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim05.png,0.798828125,0.1005859375
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim05.png,0.1875,0.40625
"(1,0)/(7,7)",B,espcn_x4,kodim05.png,0.98828125,0.005859375
"(1,0)/(7,7)",B,real_esrgan,kodim06.png,0.45703125,0.271484375
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim06.png,0.830078125,0.0849609375
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim06.png,0.41015625,0.294921875
"(1,0)/(7,7)",B,espcn_x4,kodim06.png,0.96484375,0.017578125
"(1,0)/(7,7)",B,real_esrgan,kodim07.png,0.4375,0.28125
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim07.png,0.693359375,0.1533203125
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim07.png,0.376953125,0.3115234375
"(1,0)/(7,7)",B,espcn_x4,kodim07.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim08.png,0.267578125,0.3662109375
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim08.png,0.775390625,0.1123046875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim08.png,0.30078125,0.349609375
"(1,0)/(7,7)",B,espcn_x4,kodim08.png,0.978515625,0.0107421875
"(1,0)/(7,7)",B,real_esrgan,kodim09.png,0.341796875,0.3291015625
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim09.png,0.693359375,0.1533203125
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim09.png,0.431640625,0.2841796875
"(1,0)/(7,7)",B,espcn_x4,kodim09.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim10.png,0.263671875,0.3681640625
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim10.png,0.724609375,0.1376953125
