image,selected_pair,embedding_cost,attack_name,nc_adaptive,nc_standard,psnr_adaptive,psnr_standard,ssim_adaptive,ssim_standard,alpha_adaptive,nc_adaptive_strength,ber_adaptive_strength,psnr_adaptive_strength,ssim_adaptive_strength
t006.png,"(7,4)/(7,7)",0.17547900947000783,jpeg_compression_q50,0.708984375,1.0,33.67040008894947,33.23588524935011,0.9063963204962815,0.8879909564568363,0.12781924737909023,0.708984375,0.1455078125,33.669073689744536,0.9063662861907554
t006.png,"(7,4)/(7,7)",0.17547900947000783,gaussian_blur_5x5,0.998046875,0.958984375,32.31004773807228,32.113562023965734,0.9174375889884888,0.9090565607094248,0.12781924737909023,0.998046875,0.0009765625,32.310019838119935,0.9174395454262415
t007.png,"(4,7)/(5,7)",0.23798422196815644,real_esrgan,0.88671875,0.833984375,27.22319748281642,27.10375622548956,0.8310904789425259,0.833540504169465,0.23684539860453552,0.888671875,0.0556640625,27.212999843031774,0.8306278537708862
t007.png,"(4,7)/(5,7)",0.23798422196815644,jpeg_compression_q50,0.962890625,1.0,26.586832046303606,26.443500491301492,0.8320197992574095,0.8256392775483392,0.23684539860453552,0.97265625,0.013671875,26.578458420535497,0.831664573726487
t007.png,"(4,7)/(5,7)",0.23798422196815644,gaussian_blur_5x5,0.908203125,0.853515625,24.439616909939666,24.360756193018663,0.728649961763165,0.7221665700403866,0.23684539860453552,0.9296875,0.03515625,24.438799025632107,0.7286037511844446
t008.png,"(7,4)/(7,7)",0.20067231130062976,real_esrgan,0.7265625,0.78515625,31.696015795594597,31.67008932355554,0.8319919316706468,0.8350989646438798,0.1477501281631743,0.720703125,0.1396484375,31.693766912708146,0.8318940104017246
t008.png,"(7,4)/(7,7)",0.20067231130062976,jpeg_compression_q50,0.869140625,1.0,32.22082395189017,32.05257351239911,0.8379823193425756,0.8282594784912422,0.1477501281631743,0.875,0.0625,32.21678597218186,0.8378069203803887
t008.png,"(7,4)/(7,7)",0.20067231130062976,gaussian_blur_5x5,0.978515625,0.98828125,31.668330410113835,31.54239003651854,0.8389682391237105,0.8317537894975463,0.1477501281631743,0.982421875,0.0087890625,31.668120540560977,0.838957303643855
t009.png,"(4,7)/(5,7)",0.12405079767384306,real_esrgan,0.69140625,0.6171875,31.95107973385213,31.44796100310164,0.9400758180207313,0.9326268242721416,0.12489146375688609,0.697265625,0.1513671875,31.951542651215092,0.9400763562762559
t009.png,"(4,7)/(5,7)",0.12405079767384306,jpeg_compression_q50,0.5234375,1.0,35.3099359777552,34.09028449886835,0.9225506152932862,0.8956465639463924,0.12489146375688609,0.51953125,0.240234375,35.310069810086645,0.9225694721890564
t009.png,"(4,7)/(5,7)",0.12405079767384306,gaussian_blur_5x5,0.9921875,0.9140625,31.10164642416166,30.77414079638391,0.9290012064258312,0.917970688598441,0.12489146375688609,0.9921875,0.00390625,31.101740659822276,0.9289980265728205
t010.png,"(4,7)/(5,7)",0.11139043470247356,real_esrgan,0.775390625,0.71875,33.538219754567386,32.810543460218064,0.9389448159532741,0.9295864189185548,0.10853177728580143,0.7734375,0.11328125,33.53894714811961,0.9389495086608641
t010.png,"(4,7)/(5,7)",0.11139043470247356,jpeg_compression_q50,0.591796875,1.0,35.46848027583721,34.87866341829318,0.9190041630264969,0.8986068633408348,0.10853177728580143,0.59375,0.203125,35.46926352439773,0.9190020911617923
t010.png,"(4,7)/(5,7)",0.11139043470247356,gaussian_blur_5x5,0.998046875,0.97265625,33.9359604343709,33.705264831418305,0.9264166328077192,0.9180661184897072,0.10853177728580143,0.998046875,0.0009765625,33.935727325549884,0.9264132051294767
t011.png,"(7,4)/(7,7)",0.197224921131246,real_esrgan,0.8046875,0.791015625,31.566725744514894,30.99850721475438,0.9150247898528434,0.9072809326066396,0.12986905610510802,0.810546875,0.0947265625,31.56554011935306,0.9150086771683196
t011.png,"(7,4)/(7,7)",0.197224921131246,jpeg_compression_q50,0.736328125,1.0,33.968033628888556,33.59117606522266,0.8955087239432343,0.8807406772733087,0.12986905610510802,0.7421875,0.12890625,33.96617942125866,0.8954488708765028
t011.png,"(7,4)/(7,7)",0.197224921131246,gaussian_blur_5x5,0.998046875,0.96875,33.07795848124652,32.8837381757886,0.9154136445866733,0.9075381901422412,0.12986905610510802,0.998046875,0.0009765625,33.077689186389016,0.915408297948158
t012.png,"(7,4)/(7,7)",0.18719315238896797,real_esrgan,0.75390625,0.779296875,34.54704159314239,33.797341087675846,0.9158724815098075,0.911313595954481,0.10591988653114118,0.75390625,0.123046875,34.54731163098489,0.9158721199728733
t012.png,"(7,4)/(7,7)",0.18719315238896797,jpeg_compression_q50,0.728515625,1.0,35.78249393034535,35.23403943042552,0.899210100638514,0.8828135142472441,0.10591988653114118,0.728515625,0.1357421875,35.78239552726963,0.8992028066702921
