image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim15,kodak,balanced,0.1,gaussian_blur,0.97265625,0.013671875,30.45799368094653,0.8923625913457084,
kodim15,kodak,hf,0.1,none,1.0,0.0,44.67017291574468,0.9834790770324403,
kodim15,kodak,hf,0.1,real_esrgan,0.900390625,0.0498046875,30.59204944292467,0.889768047369868,disk_precomputed_canonical
kodim15,kodak,hf,0.1,jpeg_q50,0.84765625,0.076171875,32.8095448032432,0.8846063965781061,
kodim15,kodak,hf,0.1,gaussian_blur,0.99609375,0.001953125,30.604619419182512,0.9015545830391178,
kodim16,kodak,standard,0.1,none,1.0,0.0,42.364124277551475,0.9808101807617562,
kodim16,kodak,standard,0.1,real_esrgan,0.908203125,0.0458984375,31.409650080417578,0.9138086816089203,disk_precomputed_canonical
kodim16,kodak,standard,0.1,jpeg_q50,1.0,0.0,32.76994235569436,0.883028705887423,
kodim16,kodak,standard,0.1,gaussian_blur,0.984375,0.0078125,30.369052036082486,0.8413282623038598,
kodim16,kodak,balanced,0.1,none,1.0,0.0,42.88591308304582,0.9814484419273835,
kodim16,kodak,balanced,0.1,real_esrgan,0.92578125,0.037109375,31.41867907473295,0.91439024452639,live_canonical
kodim16,kodak,balanced,0.1,jpeg_q50,1.0,0.0,32.83558138451178,0.885812230024901,
kodim16,kodak,balanced,0.1,gaussian_blur,0.994140625,0.0029296875,30.37815219953776,0.8409444529428685,
kodim16,kodak,hf,0.1,none,1.0,0.0,44.31243947823237,0.9856364067181457,
kodim16,kodak,hf,0.1,real_esrgan,0.904296875,0.0478515625,31.58262320377148,0.9186812995766015,disk_precomputed_canonical
kodim16,kodak,hf,0.1,jpeg_q50,0.912109375,0.0439453125,33.01732555150369,0.8952180655683145,
kodim16,kodak,hf,0.1,gaussian_blur,0.9921875,0.00390625,30.491871214263515,0.8498360772073648,
kodim17,kodak,standard,0.1,none,1.0,0.0,41.34673095794889,0.9797528851683451,
kodim17,kodak,standard,0.1,real_esrgan,0.927734375,0.0361328125,32.283492501424206,0.9400255196075972,disk_precomputed_canonical
kodim17,kodak,standard,0.1,jpeg_q50,1.0,0.0,33.09213320430243,0.9076249054009861,
kodim17,kodak,standard,0.1,gaussian_blur,0.94140625,0.029296875,31.213857281889396,0.9080190612505629,
kodim17,kodak,balanced,0.1,none,1.0,0.0,41.22781036626209,0.9800744349910916,
kodim17,kodak,balanced,0.1,real_esrgan,0.92578125,0.037109375,32.26632999955383,0.9403361904793271,live_canonical
kodim17,kodak,balanced,0.1,jpeg_q50,1.0,0.0,33.08458034646682,0.9094334052112774,
kodim17,kodak,balanced,0.1,gaussian_blur,0.970703125,0.0146484375,31.183000219382105,0.9070738421385688,
kodim17,kodak,hf,0.1,none,1.0,0.0,44.148616739076196,0.9862064573166158,
kodim17,kodak,hf,0.1,real_esrgan,0.958984375,0.0205078125,32.95437212551465,0.9489998048219491,disk_precomputed_canonical
kodim17,kodak,hf,0.1,jpeg_q50,0.912109375,0.0439453125,33.48298638581288,0.920280493924443,
kodim17,kodak,hf,0.1,gaussian_blur,0.98828125,0.005859375,31.415655362228247,0.9167497342727661,
kodim18,kodak,standard,0.1,none,0.998046875,0.0009765625,39.98042962470346,0.9818735745579387,
kodim18,kodak,standard,0.1,real_esrgan,0.9375,0.03125,28.471386067487497,0.882620342244396,disk_precomputed_canonical
kodim18,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,29.78455254203551,0.8680235967872908,
kodim18,kodak,standard,0.1,gaussian_blur,0.9296875,0.03515625,27.593470903779384,0.8310954249637597,
kodim18,kodak,balanced,0.1,none,0.998046875,0.0009765625,39.80301798070647,0.9818307891661645,
kodim18,kodak,balanced,0.1,real_esrgan,0.935546875,0.0322265625,28.4396150265276,0.8826318201788776,live_canonical
kodim18,kodak,balanced,0.1,jpeg_q50,0.99609375,0.001953125,29.76221295804467,0.8679703436488433,
kodim18,kodak,balanced,0.1,gaussian_blur,0.943359375,0.0283203125,27.573645065439642,0.8300263231094059,
kodim18,kodak,hf,0.1,none,1.0,0.0,43.36131437340007,0.9894667522289748,
kodim18,kodak,hf,0.1,real_esrgan,0.9375,0.03125,28.666251085540885,0.8853071586969193,disk_precomputed_canonical
kodim18,kodak,hf,0.1,jpeg_q50,0.96484375,0.017578125,30.010391005929836,0.8772630095780715,
kodim18,kodak,hf,0.1,gaussian_blur,0.951171875,0.0244140625,27.72507547667089,0.8397650502492325,
kodim19,kodak,standard,0.1,none,1.0,0.0,40.868142020745,0.9813427721231328,
kodim19,kodak,standard,0.1,real_esrgan,0.833984375,0.0830078125,28.941529480529002,0.9058008428697585,disk_precomputed_canonical
kodim19,kodak,standard,0.1,jpeg_q50,1.0,0.0,31.97718731222738,0.8862259949126431,
kodim19,kodak,standard,0.1,gaussian_blur,0.931640625,0.0341796875,27.613560171716838,0.8418442795363158,
kodim19,kodak,balanced,0.1,none,1.0,0.0,42.068570782670236,0.98393461333987,
kodim19,kodak,balanced,0.1,real_esrgan,0.876953125,0.0615234375,28.99997000728712,0.9082460189204454,live_canonical
kodim19,kodak,balanced,0.1,jpeg_q50,1.0,0.0,32.08933583949408,0.8889474266082598,
