coeff_pair,p1,p2,symmetry_class,symmetry_num,is_symmetric,is_near_or_sym,joint_stability_esrgan,combined_damage_esrgan,stability_diff_esrgan,max_damage_esrgan,joint_stability_jpeg,combined_damage_jpeg,stability_diff_jpeg,freq_radius_p1,freq_radius_p2,freq_radius_sum,freq_radius_diff,nc_real_esrgan,ber_real_esrgan,nc_jpeg_compression_q50,ber_jpeg_compression_q50,nc_gaussian_blur_5x5,ber_gaussian_blur_5x5,nc_espcn_x4,ber_espcn_x4,nc_overall
"(7,5)/(7,7)","(7, 5)","(7, 7)",near-symmetric,1,0,1,3.052821638475687,6.2427024307749255,0.13705915382355105,3.1898807922992383,4.236450156835554,8.720038734997647,0.2471384213265404,8.602325267042627,9.899494936611665,18.50182020365429,1.2971696695690387,0.8640625,0.06796875,0.8931640625,0.05341796875,0.9765625,0.01171875,0.99990234375,4.8828125e-05,0.9334228515625
"(4,7)/(7,7)","(4, 7)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.269305599487776,0.163662322536402,3.216483961012089,4.35321990938983,8.836808487551924,0.13036866877226405,8.06225774829855,9.899494936611665,17.961752684910216,1.8372371883131162,0.85263671875,0.073681640625,0.78857421875,0.105712890625,0.969921875,0.0150390625,0.99951171875,0.000244140625,0.9026611328125
"(5,6)/(7,7)","(5, 6)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.2955382502422506,0.18989497329087612,3.2427166117665633,4.483588578162094,9.030821502604734,0.06364434628054472,7.810249675906654,9.899494936611665,17.70974461251832,2.0892452607050114,0.847265625,0.0763671875,0.72734375,0.136328125,0.94580078125,0.027099609375,0.99921875,0.000390625,0.8799072265625001
"(5,7)/(6,7)","(5, 7)","(6, 7)",asymmetric,0,0,0,3.12969769773316,6.299007797317122,0.03961240185080239,3.1693100995839623,4.281180241095797,8.973568886664392,0.4112084044727977,8.602325267042627,9.219544457292887,17.821869724335514,0.6172191902502604,0.85703125,0.071484375,0.77001953125,0.114990234375,0.97822265625,0.010888671875,0.999609375,0.0001953125,0.901220703125
"(5,7)/(7,6)","(5, 7)","(7, 6)",near-symmetric,1,0,1,3.12969769773316,6.31528536472327,0.05588996925694989,3.1855876669901098,4.281180241095797,9.00693687681708,0.4445763946254875,8.602325267042627,9.219544457292887,17.821869724335514,0.6172191902502604,0.853515625,0.0732421875,0.76220703125,0.118896484375,0.978125,0.0109375,0.99970703125,0.000146484375,0.898388671875
"(5,7)/(6,6)","(5, 7)","(6, 6)",near-symmetric,1,0,1,3.12969769773316,6.315591069539819,0.05619567407349857,3.1858933718066584,4.281180241095797,9.091740809309313,0.5293803271177193,8.602325267042627,8.48528137423857,17.087606641281198,0.11704389280405714,0.8525390625,0.07373046875,0.72216796875,0.138916015625,0.97412109375,0.012939453125,0.99970703125,0.000146484375,0.8871337890625
"(5,7)/(7,5)","(5, 7)","(7, 5)",symmetric,2,1,1,3.12969769773316,6.319578490032399,0.0601830945660784,3.1898807922992383,4.236450156835554,8.51763039793135,0.04473008426024272,8.602325267042627,8.602325267042627,17.204650534085253,0.0,0.85087890625,0.074560546875,0.76923828125,0.115380859375,0.97822265625,0.010888671875,0.99970703125,0.000146484375,0.8995117187499999
"(3,7)/(7,7)","(3, 7)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.329264815824433,0.2236215388730587,3.276443177348746,4.016106156786378,8.499694734948473,0.46748242137571605,7.615773105863909,9.899494936611665,17.515268042475576,2.2837218307477567,0.8486328125,0.07568359375,0.7818359375,0.10908203125,0.96376953125,0.018115234375,0.999609375,0.0001953125,0.8984619140625
"(4,6)/(7,7)","(4, 6)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.336614480006789,0.23097120305541408,3.2837928415311013,4.434983603604422,8.918572181766518,0.04860497455767199,7.211102550927978,9.899494936611665,17.110597487539643,2.688392385683687,0.84189453125,0.079052734375,0.71826171875,0.140869140625,0.9263671875,0.03681640625,0.99951171875,0.000244140625,0.8715087890625
"(4,7)/(5,7)","(4, 7)","(5, 7)",asymmetric,0,0,0,3.12969769773316,6.346181658745249,0.08678626327892935,3.216483961012089,4.281180241095797,8.634400150485627,0.07203966829403363,8.06225774829855,8.602325267042627,16.664583015341176,0.5400675187440775,0.85205078125,0.073974609375,0.836328125,0.0818359375,0.98076171875,0.009619140625,0.99951171875,0.000244140625,0.9171630859375
"(6,5)/(7,7)","(6, 5)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.35049087260921,0.24484759565783643,3.2976692341335236,4.4365431133011395,8.920131691463233,0.047045464860954844,7.810249675906654,9.899494936611665,17.70974461251832,2.0892452607050114,0.84853515625,0.075732421875,0.7505859375,0.12470703125,0.941015625,0.0294921875,0.99970703125,0.000146484375,0.8849609375
"(6,7)/(7,6)","(6, 7)","(7, 6)",symmetric,2,1,1,3.1693100995839623,6.354897766574072,0.016277567406147497,3.1855876669901098,4.692388645568594,9.418145281289878,0.033367990152689764,9.219544457292887,9.219544457292887,18.439088914585774,0.0,0.85498046875,0.072509765625,0.61943359375,0.190283203125,0.98271484375,0.008642578125,0.999609375,0.0001953125,0.8641845703125
"(6,6)/(6,7)","(6, 6)","(6, 7)",near-symmetric,1,0,1,3.1693100995839623,6.35520347139062,0.016583272222696177,3.1858933718066584,4.692388645568594,9.50294921378211,0.1181719226449216,8.48528137423857,9.219544457292887,17.70482583153146,0.7342630830543175,0.857421875,0.0712890625,0.55771484375,0.221142578125,0.97001953125,0.014990234375,0.99951171875,0.000244140625,0.8461669921874999
"(6,7)/(7,5)","(6, 7)","(7, 5)",near-symmetric,1,0,1,3.1693100995839623,6.3591908918832,0.020570692715276007,3.1898807922992383,4.236450156835554,8.928838802404147,0.45593848873304044,9.219544457292887,8.602325267042627,17.821869724335514,0.6172191902502604,0.85634765625,0.071826171875,0.78447265625,0.107763671875,0.9794921875,0.01025390625,0.99970703125,0.000146484375,0.9050048828124999
"(7,4)/(7,7)","(7, 4)","(7, 7)",asymmetric,0,0,0,3.052821638475687,6.36685422899007,0.2612109520386947,3.314032590514382,4.483588578162094,9.007759284679086,0.04058212835489616,8.06225774829855,9.899494936611665,17.961752684910216,1.8372371883131162,0.85908203125,0.070458984375,0.80595703125,0.097021484375,0.96337890625,0.018310546875,0.99990234375,4.8828125e-05,0.907080078125
"(6,6)/(7,6)","(6, 6)","(7, 6)",near-symmetric,1,0,1,3.1855876669901098,6.371481038796768,0.00030570481654867976,3.1858933718066584,4.725756635721284,9.5363172039348,0.08480393249223184,8.48528137423857,9.219544457292887,17.70482583153146,0.7342630830543175,0.853125,0.0734375,0.52412109375,0.237939453125,0.97021484375,0.014892578125,0.99951171875,0.000244140625,0.8367431640625
"(1,4)/(4,1)","(1, 4)","(4, 1)",symmetric,2,1,1,9.974430254723844,20.381794014643983,0.4329335051962957,10.40736375992014,4.0156982662247795,9.039301164705751,1.0079046322561922,4.123105625617661,4.123105625617661,8.246211251235321,0.0,0.79609375,0.101953125,0.9853515625,0.00732421875,0.922265625,0.0388671875,0.99833984375,0.000830078125,0.9255126953124999
"(1,7)/(7,1)","(1, 7)","(7, 1)",symmetric,2,1,1,3.5437012496261415,7.326535717894615,0.2391332186423316,3.782834468268473,3.368214068969595,7.036047783193723,0.2996196452545332,7.0710678118654755,7.0710678118654755,14.142135623730951,0.0,0.80859375,0.095703125,0.96240234375,0.018798828125,0.97646484375,0.011767578125,0.99951171875,0.000244140625,0.9367431640625
"(1,2)/(2,1)","(1, 2)","(2, 1)",symmetric,2,1,1,5.616072667817222,11.271713035802495,0.03956770016805056,5.6556403679852725,2.702117917527022,5.591817632745844,0.1875817976918004,2.23606797749979,2.23606797749979,4.47213595499958,0.0,0.79287109375,0.103564453125,0.9953125,0.00234375,0.93564453125,0.032177734375,0.997265625,0.0013671875,0.9302734374999999
